调度方案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000382296,76.00000177,38.00101946,38.00000088,0.001019457,4.42E-07,0.001019457,2.21E-07,2.001019457,8.000000111,2.000410582,2.000000221,2.004077828,8.008155657,8.000110618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000424774,1.97E-06,0.00113273,9.83E-07,0.00113273,4.92E-07,0.00113273,2.46E-07,0.00113273,1.23E-07,1.00113273,4.000000099,4.00453092,10.00906184,10.0000495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000467251,92.00000087,0.000501823,4.36E-07,0.000501823,2.18E-07,0.000501823,1.09E-07,2.000501823,5.000000135,0.001246003,2.70E-07,0.004984013,0.009968025,5.0001352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000509729,202.000001,25.00135928,1.18E-06,0.001359276,5.90E-07,0.001359276,12.00000029,6.001359276,12.00000006,2.001359276,3.000000295,0.005437105,6.010874209,12.00014749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000552206,2.56E-06,0.001472549,1.28E-06,0.001472549,27.00000064,12.00147255,13.00000032,0.001472549,6.00000016,2.001472549,6.000000129,6.005890197,12.00474451,12.00015978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.00023951,236.0000028,58.00063868,118.0000014,28.00158582,29.00000028,0.000638684,14.00000014,6.001585822,7.000000069,0.000638684,3.000000139,3.006343289,7.012686577,14.00017207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000637161,126.0000029,62.0006843,63.00000147,0.001699095,7.37E-07,0.001699095,3.69E-07,0.001699095,1.84E-07,0.001699095,3.000000369,3.006796381,0.013592761,7.000184364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000679638,3.15E-06,0.001812368,1.57E-06,16.00181237,66.00000079,16.00181237,32.00000016,8.001812368,16.0000002,2.001812368,4.000000393,8.007249473,8.005839392,8.000079202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000722116,143.0000033,70.00077554,71.00000167,0.001925641,8.36E-07,0.001925641,4.18E-07,0.001925641,8.000000209,4.000775544,8.000000418,8.003102177,8.01540513,8.000208945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000764593,3.54E-06,0.002038914,76.00000177,38.00082116,38.00000088,9.002038914,38.00000018,4.002038914,2.21E-07,2.002038914,8.000000442,8.008155657,18.00656932,18.00022124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.00080707,320.0000015,40.00215219,1.87E-06,20.00215219,80.00000093,10.00215219,4.67E-07,5.002152187,20.00000023,4.002152187,5.000000188,5.003467139,10.0172175,10.00023353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000342152,169.0000016,84.00226546,84.00000079,0.000912405,3.96E-07,0.000912405,1.98E-07,0.000912405,10.0000001,2.00226546,4.92E-07,5.009061841,10.01812368,10.00024582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.00035926,1.66E-06,0.000958025,8.32E-07,0.000958025,4.16E-07,0.000958025,2.08E-07,5.000958025,11.00000026,2.002378733,5.000000516,0.009514933,11.01902987,22.00025811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.00037637,370.0000043,46.00100365,8.71E-07,0.001003646,4.36E-07,11.00100365,46.00000054,10.00249201,22.00000011,4.002492006,5.000000541,5.009968025,11.00802916,11.0001089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.00097698,194.0000045,96.00260528,97.00000226,0.002605279,1.13E-06,12.00260528,48.00000057,12.00260528,24.00000011,6.002605279,12.00000057,12.01042112,24.00839413,24.00028269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.001019457,4.72E-06,0.002718552,101.0000024,50.00109489,100.0000012,24.00109489,25.00000059,6.002718552,24.00000012,6.002718552,12.00000024,6.010874209,0.021748418,12.00029498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.001061935,211.0000049,104.0011405,105.0000025,0.002831825,52.00000123,26.00114051,26.00000061,6.002831825,13.00000031,0.002831825,6.000000615,6.004562025,0.00912405,13.00012375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.00110441,5.11E-06,0.002945098,2.56E-06,27.0029451,108.0000013,26.0029451,54.00000064,12.0029451,26.00000013,6.002945098,6.000000639,6.011780393,13.00948901,13.0001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.00046191,2.14E-06,57.00123175,228.0000027,56.00123175,114.0000013,28.00123175,56.00000066,14.00305837,14.00000013,0.001231747,2.67E-07,7.004926987,28.02446697,28.00013365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.00047901,2.22E-06,59.00127737,236.0000028,29.00127737,5.54E-07,14.00127737,29.00000069,7.003171644,14.00000034,0.003171644,7.000000688,7.005109468,0.010218936,14.0001386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.00049612,2.30E-06,0.001322987,122.0000011,60.00328492,122.0000006,30.00328492,30.00000029,0.001322987,15.00000014,6.003284917,7.000000713,0.013139669,0.026279339,15.00035644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00051323,253.0000059,0.00339819,2.95E-06,0.00339819,1.47E-06,0.00339819,31.00000074,7.00339819,15.00000037,6.00339819,14.0000003,14.01359276,30.01094886,30.00036873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.00053034,2.46E-06,65.00141423,260.000003,64.00141423,130.0000015,16.00141423,3.07E-07,8.001414228,32.00000038,8.001414228,8.000000762,0.014045853,16.02809171,32.00038102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.00054744,270.0000025,134.0036247,135.0000013,33.00145985,134.0000016,32.00145985,33.00000079,8.003624736,32.00000016,4.003624736,8.000000787,16.00583939,32.02899789,32.0001584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.00056455,278.0000026,138.003738,139.0000013,0.001505468,69.00000065,34.00373801,34.00000033,8.001505468,34.00000041,8.001505468,8.000000811,0.014952038,0.029904075,17.0004056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00144423,574.0000027,71.00385128,3.34E-06,0.003851282,1.67E-06,0.003851282,8.36E-07,8.003851282,34.00000042,4.003851282,8.36E-07,0.01540513,0.030810259,17.00041789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00059877,295.0000069,0.003964555,3.44E-06,0.003964555,1.72E-06,18.00396456,36.00000035,9.001596709,18.00000043,4.003964555,9.00000086,9.015858222,18.03171644,18.00043018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.00152919,7.08E-06,0.004077828,3.54E-06,0.004077828,76.00000177,38.00407783,76.00000088,9.001642329,1.78E-07,0.001642329,3.56E-07,9.006569316,38.03262263,38.00044247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.00157166,624.0000029,156.0041911,312.0000036,39.0041911,1.82E-06,19.0041911,39.00000091,0.004191101,19.00000045,4.004191101,9.00000091,18.01676441,38.03352881,38.00045476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.00161414,7.47E-06,0.004304374,3.74E-06,0.004304374,1.87E-06,20.00430437,80.00000093,20.00173357,40.00000047,5.00173357,10.00000038,10.0172175,0.034434995,20.00046705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0006672,329.0000077,82.00441765,328.0000038,82.00441765,164.0000008,20.00441765,9.59E-07,10.00441765,20.00000019,5.00177919,20.00000096,20.01767059,20.01423352,20.00019305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0006843,676.0000079,84.00182481,1.58E-06,0.00182481,7.92E-07,21.00182481,84.00000098,10.00182481,21.0000002,5.00453092,9.83E-07,0.018123682,0.036247364,21.00049164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00070141,692.0000081,86.00187043,173.0000016,86.00464419,172.000002,21.00187043,4.06E-07,10.00187043,21.0000005,0.004644193,10.00000101,20.01857677,21.03715355,21.00050393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.00071852,3.33E-06,0.001916051,1.66E-06,0.001916051,88.00000083,44.00475747,44.00000042,0.001916051,22.00000021,10.00475747,11.00000042,11.0076642,22.03805973,22.00051622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00182653,726.0000085,90.00487074,4.23E-06,0.004870739,2.11E-06,22.00487074,90.00000043,11.00487074,22.00000053,5.001961671,11.00000043,11.01948296,22.03896592,44.00052851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.00186901,8.65E-06,92.00498401,370.0000043,46.00498401,2.16E-06,0.004984013,1.08E-06,11.00498401,46.00000054,10.00498401,22.00000044,11.01993605,23.0398721,46.00021781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.00076984,380.0000036,190.0050973,190.0000018,47.00205291,95.00000221,23.00509729,94.00000045,22.00509729,46.00000022,5.005097286,1.11E-06,11.02038914,46.04077828,46.00055309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.00078695,776.000009,194.0020985,388.0000045,48.00209853,97.00000091,48.00521056,48.00000046,0.002098532,2.28E-07,6.002098532,24.00000113,24.02084223,24.04168447,24.00056538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.00199644,794.0000037,198.0053238,396.0000046,49.00214415,9.31E-07,0.002144152,4.65E-07,12.00214415,24.00000058,0.005323832,1.16E-06,0.021295326,0.042590652,24.00057767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.00203891,405.0000094,202.0054371,202.0000047,0.005437105,2.36E-06,0.005437105,1.18E-06,0.005437105,5.90E-07,0.005437105,1.18E-06,0.021748418,0.043496836,25.00058996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.00083827,414.0000039,206.0055504,414.0000019,51.00555038,103.0000024,25.00223539,51.00000049,24.00555038,25.00000024,6.002235392,24.0000012,24.02220151,50.01788314,50.00060225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.00212387,844.0000098,210.0056637,422.000002,52.00566365,2.46E-06,26.00566365,104.0000012,13.00566365,6.15E-07,6.005663651,26.00000123,13.0226546,26.0453092,52.00024751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.00087249,860.00001,214.0023266,215.000005,53.00577692,107.0000025,26.00577692,53.0000005,13.00232663,26.00000063,6.005776924,26.00000125,26.00930653,52.04621539,52.00062684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.00220882,439.0000041,0.002372253,2.06E-06,0.002372253,1.03E-06,0.002372253,5.15E-07,0.002372253,27.00000026,12.0058902,26.00000051,13.02356079,0.047121573,27.00063913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0022513,447.0000104,222.0060035,223.0000052,0.00600347,2.61E-06,27.00600347,55.0000013,13.00600347,54.00000026,12.00600347,26.0000013,13.02401388,0.048027757,27.00065142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.00092381,912.0000106,228.0061167,228.0000021,57.00246349,114.0000027,28.00611674,57.00000133,14.00611674,56.00000027,14.00611674,14.00000053,0.009853974,0.019707949,28.00026731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.00094092,464.0000108,0.006230016,5.41E-06,0.006230016,2.70E-06,0.006230016,58.00000135,14.00250911,29.00000027,14.00623002,28.00000054,28.02492006,29.04984013,29.000676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.00095803,473.000011,0.006343289,5.51E-06,59.00634329,236.0000011,58.00634329,59.00000055,0.002554734,29.00000028,14.00634329,28.00000138,14.02537315,0.050746309,29.00068829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.00097513,962.0000112,240.0026004,480.0000056,120.0064566,120.0000011,30.00260035,60.0000014,0.006456562,30.0000007,7.002600354,5.64E-07,0.010401417,0.020802835,30.00028216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00099224,4.59E-06,122.002646,490.0000057,61.00264597,1.15E-06,0.002645975,5.74E-07,15.00264597,60.00000071,14.00264597,30.00000143,15.02627934,30.05255868,60.00028711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.00100935,996.0000116,124.0026916,2.34E-06,0.002691595,1.17E-06,31.00269159,124.0000015,30.00269159,62.00000073,7.002691595,5.84E-07,15.01076638,62.05346486,62.00029206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.00102646,507.0000048,252.0067964,506.0000059,126.0067964,126.0000012,31.00273722,126.0000015,30.00273722,31.00000074,7.006796381,15.00000147,15.02718552,31.05437105,31.00073745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.00259112,1030.000005,256.0069097,257.0000024,0.002782835,1.21E-06,32.00278284,128.0000015,32.00278284,64.00000075,16.00690965,16.0000006,0.011131341,0.022262683,32.00030196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0026336,1.22E-05,0.007022927,6.10E-06,0.007022927,3.05E-06,0.007022927,65.00000152,16.00282846,32.00000031,8.007022927,1.52E-06,16.02809171,32.02262764,32.00030691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.00267608,1064.000005,133.0071362,6.19E-06,0.0071362,3.10E-06,0.0071362,1.55E-06,16.0071362,66.00000077,16.0071362,32.00000155,32.0285448,33.02299261,33.00031186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.00271855,540.0000126,270.0072495,270.0000063,0.007249473,3.15E-06,0.007249473,1.57E-06,0.007249473,7.87E-07,0.007249473,16.00000157,16.02899789,33.05799578,66.00078662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.00276103,1098.000005,137.0073627,6.39E-06,68.00736275,274.0000013,34.00736275,1.60E-06,0.007362746,7.99E-07,0.007362746,17.0000016,34.02945098,68.05890197,68.00079891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.00280351,1114.000005,278.007476,556.0000026,138.007476,139.0000013,34.00301094,138.0000016,34.00747602,68.00000081,8.007476019,17.00000162,17.01204375,34.02408749,68.0008112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00284598,1.32E-05,0.007589292,6.59E-06,70.00758929,282.0000013,70.00758929,70.00000165,0.007589292,35.00000082,8.007589292,1.65E-06,17.03035717,70.02445245,70.00082349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00116332,5.39E-06,143.0031022,574.0000067,142.0077026,286.0000013,35.00770256,1.67E-06,17.00770256,70.00000034,8.007702565,1.67E-06,0.030810259,0.061620518,35.00083578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.00293094,583.0000055,0.003147797,291.0000027,144.0078158,145.0000014,0.003147797,6.83E-07,0.003147797,3.42E-07,0.003147797,18.00000068,36.03126335,72.0625267,72.00034156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.00297342,1182.000006,147.0079291,6.88E-06,73.00792911,294.0000014,36.00792911,1.72E-06,18.00792911,72.00000035,18.00792911,36.00000172,18.01277367,0.025547341,36.00034651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.00301589,1.40E-05,0.008042384,6.98E-06,0.008042384,3.49E-06,37.00804238,148.0000007,18.00804238,8.73E-07,0.008042384,1.75E-06,18.03216954,37.06433907,37.00087265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.00305837,1216.000006,304.0081557,304.0000071,0.008155657,3.54E-06,0.008155657,1.77E-06,19.00815566,38.00000036,0.003284658,7.13E-07,19.01313863,76.06524525,76.00035641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.00310085,1232.000014,154.0082689,7.18E-06,0.00826893,3.59E-06,0.00826893,1.79E-06,0.00826893,8.97E-07,9.00826893,19.00000072,0.013321114,0.026642227,38.00036136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.00126596,5.86E-06,0.003375899,2.93E-06,0.003375899,156.0000015,78.0083822,156.0000007,19.0083822,9.10E-07,0.008382203,1.82E-06,0.033528811,39.06705762,78.00090953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0031858,1.47E-05,158.0084955,632.0000074,79.00849548,3.69E-06,0.008495476,1.84E-06,19.00849548,78.00000037,18.00849548,38.00000074,19.0339819,39.06796381,78.00092182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.00322828,1284.000006,160.0086087,7.47E-06,0.008608749,3.74E-06,0.008608749,80.00000187,40.00346714,80.00000093,10.00346714,7.52E-07,20.01386856,80.06886999,80.00037621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.00327076,1300.000015,162.008722,7.57E-06,0.008722022,3.79E-06,0.008722022,1.89E-06,20.00872202,40.00000095,10.00872202,40.00000189,20.01405104,40.02810208,80.0009464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.00331324,1.53E-05,0.008835295,7.67E-06,82.00883529,328.0000038,82.00883529,82.00000192,0.008835295,41.00000096,20.00883529,40.00000192,20.03534118,0.070682359,41.00095869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.00335571,667.0000155,332.003604,333.0000078,0.008948568,3.88E-06,0.008948568,1.94E-06,0.008948568,9.71E-07,10.00894857,40.00000078,40.03579427,82.07158854,82.00097098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.00339819,1.57E-05,0.009061841,7.87E-06,84.00906184,338.0000039,84.00906184,168.0000008,21.00906184,9.83E-07,0.009061841,1.97E-06,0.036247364,0.072494727,42.00098327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00138572,6.42E-06,171.0036952,684.000008,170.0036952,342.000004,42.00369524,8.02E-07,0.00369524,42.0000004,10.00917511,1.99E-06,21.03670046,84.02956192,84.00099556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00348315,1.61E-05,173.0092884,692.0000032,86.00928839,4.03E-06,0.009288387,86.00000202,21.00928839,1.01E-06,10.00928839,42.00000081,42.03715355,86.02992689,86.00100785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.00141993,1402.000016,350.0094017,350.0000082,0.00940166,4.08E-06,0.00940166,2.04E-06,0.00940166,1.02E-06,10.00940166,42.00000204,21.03760664,0.07521328,43.00102015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0035681,709.0000165,354.0038321,354.0000083,88.00951493,354.0000017,88.00951493,176.0000008,22.00951493,44.00000103,22.00951493,44.00000083,44.03805973,44.03065681,44.00041581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.00145415,718.0000067,358.0096282,359.0000034,0.003877721,1.68E-06,0.003877721,8.42E-07,0.003877721,4.21E-07,11.00387772,44.00000209,22.01551089,0.031021771,44.00042076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.00147125,1452.000017,181.0039233,363.0000034,180.0097415,181.0000017,0.003923342,90.00000085,44.00974148,90.00000106,11.00392334,22.00000085,44.03896592,45.07793183,45.00105702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
